review_reason,movie_id,query_used,tmdb_id,title,runtime,genre,release_date,popularity,title_score,final_score
title_score < 90,adjustmentbureauthe,adjustment bureau the,38050,The Adjustment Bureau,106,"Science Fiction, Thriller, Romance",2011-03-03,5.0148,84.21052631578947,84.46126631578946
title_score < 90,americanpresidentthe,american president the,9087,The American President,113,"Drama, Romance",1995-11-17,3.0566,85.0,85.15283
title_score < 90,anniversarypartythe,anniversary party the,26475,The Anniversary Party,115,"Comedy, Drama",2001-06-09,1.1737,84.21052631578947,84.26921131578946
title_score < 90,apartmentthe,apartment the,284,The Apartment,126,"Comedy, Drama, Romance",1960-06-21,5.1236,75.0,75.25618
title_score < 90,artistthe,artist the,1209875,The Artist,23,Drama,1987-01-01,0.2493,82.35294117647058,82.36540617647059
title_score < 90,assignmentthe,assignment the,399173,The Assignment,95,"Action, Crime, Thriller",2016-06-08,3.236,76.92307692307692,77.08487692307692
title_score < 90,backupplanthe,backup plan the,34806,The Back-Up Plan,106,"Comedy, Romance",2010-04-23,2.9678,76.92307692307692,67.07146692307693
title_score < 90,battleofshakerheightsthe,battle of shaker heights the,21413,The Battle of Shaker Heights,79,"Comedy, Drama, Romance",2003-08-22,1.1102,87.5,87.55551
title_score < 90,blackdahliathe,black dahlia the,9676,The Black Dahlia,121,"Crime, Thriller, Drama",2006-09-15,2.4073,78.57142857142857,78.69179357142858
title_score < 90,bookofelithe,book of eli the,20504,The Book of Eli,118,"Action, Thriller, Science Fiction",2010-01-14,7.0444,75.0,75.35222
title_score < 90,bourneidentitythe,bourne identity the,2501,The Bourne Identity,119,"Action, Drama, Mystery, Thriller",2002-06-14,16.2435,82.35294117647058,83.16511617647058
title_score < 90,bourneultimatumthe,bourne ultimatum the,2503,The Bourne Ultimatum,115,"Action, Drama, Mystery, Thriller",2007-08-03,8.5814,83.33333333333334,83.76240333333334
title_score < 90,butterflyeffectthe,butterfly effect the,1954,The Butterfly Effect,113,"Science Fiction, Thriller",2004-01-17,10.0337,83.33333333333334,83.83501833333334
title_score < 90,ciderhouserulesthe,cider house rules the,1715,The Cider House Rules,126,Drama,1999-12-17,5.083,83.33333333333334,83.58748333333334
title_score < 90,cincinnatikidthe,cincinnati kid the,886,The Cincinnati Kid,102,Drama,1965-10-15,1.4305,81.25,81.321525
title_score < 90,cowboysaliens,cowboys aliens,49849,Cowboys & Aliens,119,"Action, Science Fiction, Thriller, Western",2011-07-29,6.9296,89.65517241379311,90.00165241379311
title_score < 90,crowsalvationthe,crow salvation the,9456,The Crow: Salvation,101,"Action, Thriller, Horror, Fantasy",2000-01-23,2.2957,81.25,81.364785
title_score < 90,cryinggame,crying game,11386,The Crying Game,112,"Crime, Drama, Thriller",1992-09-02,2.2448,86.95652173913044,82.06876173913044
title_score < 90,darkknightrisesthe,dark knight rises the,49026,The Dark Knight Rises,165,"Action, Crime, Drama, Thriller",2012-07-17,20.8377,83.33333333333334,84.37521833333334
title_score < 90,daytheclowncriedthe,day the clown cried the,1665029,The Day the Clown Cried,90,Drama,1972-01-01,0.1057,84.21052631578947,84.21581131578947
title_score < 90,daytheearthstoodstillthe,day the earth stood still the,10200,The Day the Earth Stood Still,104,"Drama, Science Fiction, Thriller",2008-12-10,4.6722,87.5,87.73361
title_score < 90,deerhunterthe,deer hunter the,11778,The Deer Hunter,183,"Drama, War",1978-12-08,7.0693,76.92307692307692,77.27654192307692
title_score < 90,fabulousbakerboysthe,fabulous baker boys the,10875,The Fabulous Baker Boys,114,"Comedy, Drama, Music, Romance",1989-10-13,1.4354,85.0,85.07177
title_score < 90,faultinourstarsthe,fault in our stars the,222935,The Fault in Our Stars,126,"Romance, Drama",2014-06-02,5.5967,83.33333333333334,83.61316833333335
title_score < 90,frenchconnectionthe,french connection the,1051,The French Connection,104,"Action, Crime, Thriller",1971-10-09,3.6707,84.21052631578947,84.39406131578947
title_score < 90,ghostbusters2,ghostbusters 2,2978,Ghostbusters II,108,"Comedy, Fantasy",1989-06-16,5.6044,88.88888888888889,84.16910888888889
title_score < 90,godfatherpartiiithe,godfather part iii the,242,The Godfather Part III,162,"Crime, Drama, Thriller",1990-12-25,13.2794,84.21052631578947,84.87449631578947
title_score < 90,greenmilethe,green mile the,497,The Green Mile,189,"Fantasy, Drama, Crime",1999-12-10,28.4985,75.0,76.424925
title_score < 90,hebrewhammerthe,hebrew hammer the,19187,The Hebrew Hammer,81,"Action, Comedy",2003-12-05,0.8032,80.0,80.04016
title_score < 90,helpthe,help the,442983,Help the Old,10,Thriller,1998-01-01,0.0659,82.35294117647058,77.35623617647057
title_score < 90,hillshaveeyesthe,hills have eyes the,9792,The Hills Have Eyes,107,"Horror, Thriller",2006-03-10,11.5976,81.25,81.82988
title_score < 90,horsewhispererthe,horse whisperer the,547,The Horse Whisperer,169,"Adventure, Drama, Romance",1998-02-01,3.3728,82.35294117647058,82.52158117647058
title_score < 90,idesofmarchthe,ides of march the,10316,The Ides of March,101,Drama,2011-10-07,3.4753,78.57142857142857,78.74519357142857
