movie_id,reason
12monkeys,no strong title match
abyssthe,no strong title match
airforceone,no strong title match
americanshaolinkingofkickboxersii,no strong title match
avengersthe2012,no strong title match
baddayatblackrock,no strong title match
batman2,no strong title match
believerthe,no strong title match
bigbluethe,no strong title match
bigwhitethe,no strong title match
birdsthe,no strong title match
bladerunner,no strong title match
blindsidethe,no strong title match
boondocksaints2allsaintsday,no strong title match
boondocksaintsthe,no strong title match
boxthe,no strong title match
buffythevampireslayer,no strong title match
cellthe,no strong title match
changeupthe,no strong title match
coolerthe,no strong title match
croodsthe,no strong title match
crowthe,no strong title match
davebarryscompleteguidetoguys,no strong title match
deathtosmoochy,no strong title match
departedthe,no strong title match
diehard2,no strong title match
doorsthe,no strong title match
fasttimesatridgemonthigh,no strong title match
frightnight1985,no strong title match
frozendisney,no strong title match
fugitivethe,no strong title match
getawaythe,no strong title match
goodwillhunting,no strong title match
gremlins2,no strong title match
griftersthe,no strong title match
hangoverthe,no strong title match
haroldandkumargotowhitecastle,no strong title match
hauntingthe,no strong title match
hellraiserhellseeker,no strong title match
hudsuckerproxythe,no strong title match
iamnumberfour,no strong title match
iamsam,no strong title match
icestormthe,no strong title match
indianajonesiv,no strong title match
insiderthe,no strong title match
ironladythe,no strong title match
jacketthe,no strong title match
jurassicparkthelostworld,no strong title match
killbillvolume12,no strong title match
larrycrowne,no strong title match
losersthe,no strong title match
majesticthethebijou,no strong title match
manintheironmask,no strong title match
manonfire,no strong title match
manonthemoon,no strong title match
masterandcommander,no strong title match
masterthe,no strong title match
matrixthe,no strong title match
mechanicthe,no strong title match
moonrisekingdom,no strong title match
mrblandingsbuildshisdreamhouse,no strong title match
mummythe,no strong title match
nightmareonelmstreetthefinalchapter,no strong title match
ninesthe,no strong title match
pacifierthe,no strong title match
petsematary,no strong title match
petsemataryii,no strong title match
producerthe,no strong title match
programthe,no strong title match
prophecythe,no strong title match
rambofirstbloodiithemission,no strong title match
readerthe,no strong title match
relicthe,no strong title match
roommatethe,no strong title match
sandlotkidsthe,no strong title match
sessionsthe,no strong title match
silverliningsplaybook,no strong title match
starwarsanewhope,no strong title match
stingthe,no strong title match
theragecarrie2,no strong title match
thingthe,no strong title match
threekingsspoilsofwar,no strong title match
touristthe,no strong title match
verdictthe,no strong title match
visitorthe,no strong title match
woodsmanthe,no strong title match
wrestlerthe,no strong title match
xfilesfightthefuturethe,no strong title match
